number,value,datetime_start,datetime_complete,duration,params_grad_accum,params_learning_rate,params_lora_dropout,params_lora_r,params_warmup_ratio,params_weight_decay,user_attrs_threshold,state
10,0.8240913661456476,2026-05-26 16:43:36.471377,2026-05-26 16:46:40.068061,0 days 00:03:03.596684,4,0.00013091987690561218,0.2398545487276328,8,0.0014871788219294,0.03468508914066219,,PRUNED
11,0.8334753403540467,2026-05-26 16:46:40.188924,2026-05-26 16:52:48.158011,0 days 00:06:07.969087,2,0.0001636073485707239,0.2169392354389085,4,0.024304780330490987,0.055171510081131844,0.59,COMPLETE
12,0.8143499432612906,2026-05-26 16:52:48.293607,2026-05-26 16:56:20.318730,0 days 00:03:32.025123,4,0.00042179070853860996,0.20950303450674052,4,0.06295559874796933,0.0419740686789233,,PRUNED
13,0.8339451900558139,2026-05-26 16:56:20.510628,2026-05-26 17:02:09.036470,0 days 00:05:48.525842,2,0.00018653029023126588,0.10865914103010875,4,0.01804406848369575,0.0689536601120642,0.4799999999999999,COMPLETE
14,0.8183088051152034,2026-05-26 17:02:09.157704,2026-05-26 17:04:04.609697,0 days 00:01:55.451993,4,8.256545436331724e-05,0.010655035391976153,4,0.058933761033808124,0.04641159290256863,,PRUNED
15,0.8280202589307121,2026-05-26 17:04:04.732246,2026-05-26 17:06:00.917491,0 days 00:01:56.185245,2,0.0004987544765589412,0.18575036322122782,4,0.015373147651659366,0.0873311672929574,,PRUNED
16,0.8139928167459412,2026-05-26 17:06:01.036642,2026-05-26 17:07:56.676071,0 days 00:01:55.639429,4,0.0002375135882803169,0.2945357198692653,4,0.036737888722001615,0.06352405899268479,,PRUNED
17,0.834784749447988,2026-05-26 17:07:56.788837,2026-05-26 17:11:51.996405,0 days 00:03:55.207568,2,8.899836557699988e-05,0.13387781513244026,8,0.09839518734057057,0.01746841878889272,0.4499999999999999,COMPLETE
18,0.8273511026963015,2026-05-26 17:11:52.113461,2026-05-26 17:13:47.390298,0 days 00:01:55.276837,2,0.00023922747671545366,0.08311520636774324,32,0.049573164666173834,0.04386228356871219,,PRUNED
19,0.8201767849751087,2026-05-26 17:13:47.510455,2026-05-26 17:15:43.055920,0 days 00:01:55.545465,4,0.0001208693804763966,0.008264517481684303,4,0.011869538621845942,0.07128786595093332,,PRUNED
20,0.8156521910064426,2026-05-26 17:15:43.178523,2026-05-26 17:17:38.088683,0 days 00:01:54.910160,4,6.089523628682008e-05,0.1860446723353672,4,0.06351025462875931,0.05234783981846921,,PRUNED
21,0.8170090154528122,2026-05-26 17:17:38.207854,2026-05-26 17:19:39.895974,0 days 00:02:01.688120,1,2.4183152877681674e-05,0.051645499698002605,4,0.07413613242588088,0.09475128006753347,,PRUNED
22,0.8261567163842027,2026-05-26 17:19:40.008817,2026-05-26 17:21:42.549607,0 days 00:02:02.540790,1,4.081609054213761e-05,0.076420861417933,4,0.07404102244522928,0.08620897911446421,,PRUNED
23,0.8266371490908517,2026-05-26 17:21:42.665857,2026-05-26 17:23:46.204589,0 days 00:02:03.538732,1,0.0002460612969342314,0.028588527140745133,4,0.09806008875524971,0.09648412800757065,,PRUNED
24,0.8158043429994539,2026-05-26 17:23:46.322533,2026-05-26 17:25:49.922384,0 days 00:02:03.599851,1,2.348699482166341e-05,0.12523407538937226,4,0.03264663240736468,0.034887689808554105,,PRUNED
25,0.8292786474450422,2026-05-26 17:25:50.048478,2026-05-26 17:27:53.808075,0 days 00:02:03.759597,1,5.683038138650234e-05,0.08334046567229653,4,0.05669161068364065,0.07882937674472153,,PRUNED
26,0.8334265435941769,2026-05-26 17:27:53.918010,2026-05-26 17:30:49.165602,0 days 00:02:55.247592,2,0.00032257336151352104,0.1450310571287466,16,0.07057256765318486,0.035162339235634194,0.5199999999999999,COMPLETE
27,0.816927394024981,2026-05-26 17:30:49.285424,2026-05-26 17:32:49.907023,0 days 00:02:00.621599,1,0.0004741909628813238,0.2551851397923905,8,0.04383395800142827,0.01689418984472203,,PRUNED
28,0.8198470310040289,2026-05-26 17:32:50.025122,2026-05-26 17:34:44.758399,0 days 00:01:54.733277,4,0.00010876875585032281,0.026389165228692696,32,0.02701615334717183,0.060365774049912876,,PRUNED
29,0.8202870807544584,2026-05-26 17:34:44.878346,2026-05-26 17:36:41.125732,0 days 00:01:56.247386,2,4.8950264500286925e-05,0.0396504831471077,4,0.0901149302745724,0.08289089446110547,,PRUNED
